CreateMeshBuilder,,,,
AddVertex,1.5,0.1,0.6,
AddVertex,1.9,0.1,0.6,
AddVertex,1.9,0.1,-0.8,
AddVertex,1.5,0.1,-0.8,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,Azam.bmp,,,
SetTextureCoordinates,0,0.005,0.005,
SetTextureCoordinates,1,0.995,0.005,
SetTextureCoordinates,2,0.995,0.995,
SetTextureCoordinates,3,0.005,0.995,

CreateMeshBuilder,,,,
AddVertex,1.9,0.1,0.6,
AddVertex,1.9,0.1,-0.8,
AddVertex,1.5,0.1,-0.8,
AddVertex,1.5,0.1,0.6,
AddVertex,1.5,-0.2,0.6,
AddVertex,1.5,-0.2,-0.8,
AddVertex,1.9,-0.2,-0.8,
AddVertex,1.9,-0.2,0.6,
AddFace,7,6,1,0
AddFace,6,5,2,1
AddFace,5,4,3,2
SetColor,32,32,32,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,1.1,-0.1,-0.1,
AddVertex,2.3,-0.1,-0.1,
AddVertex,2.3,0.05,-0.1,
AddVertex,1.1,0.05,-0.1,
AddVertex,1.1,0.05,0.1,
AddVertex,2.3,0.05,0.1,
AddVertex,2.3,-0.1,0.1,
AddVertex,1.1,-0.1,0.1,
AddFace,3,2,1,0
AddFace,4,5,2,3
AddFace,7,4,3,0
AddFace,1,2,5,6
GenerateNormals,,,,
LoadTexture,Zebra.bmp,,,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,1,0.5,
SetTextureCoordinates,3,0,0.5,
SetTextureCoordinates,4,0,1,
SetTextureCoordinates,5,1,1,
SetTextureCoordinates,6,1,0.5,
SetTextureCoordinates,7,0,0.5,

CreateMeshBuilder,,,,
Cube,1.8,0.15,0.19,
Rotate,1,0,0,90
Translate,0.6,-0.31,-0.3125,
SetColor,40,32,32,

CreateMeshBuilder,,,,
Cube,1.8,0.15,0.19,
Rotate,1,0,0,90
Translate,0.6,-0.31,0.3125,
SetColor,40,32,32,

CreateMeshBuilder,,,,
Cylinder,8,0.12,0.12,0.5
Rotate,1,0,0,90
Translate,1.7,-0.05,0.8,
SetColor,32,32,32,
