CreateMeshBuilder
AddVertex,1.5,1.1,0
AddVertex,1.5,1.1,15
AddVertex,1.74,1.1,15
AddVertex,1.74,1.1,0
AddFace,0,1,2,3
Setcolor,58,32,26
GenerateNormals

CreateMeshBuilder
AddVertex,1.74,1.1,0
AddVertex,1.74,1.1,15
AddVertex,2.7,1.1,15
AddVertex,2.7,1.1,0
AddFace,0,1,2,3
GenerateNormals
LoadTexture,suna.bmp
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,0.25,0
SetTextureCoordinates,3,0.25,1


CreateMeshBuilder
AddVertex,1.5,-0.45,0
AddVertex,1.5,-0.45,15
AddVertex,1.5,1.1,15
AddVertex,1.5,1.1,0
AddFace,0,1,2,3
GenerateNormals
LoadTexture,Form3.bmp
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,5,1
SetTextureCoordinates,2,5,0
SetTextureCoordinates,3,0,0

CreateMeshBuilder
AddVertex,1.74,-0.45,26
AddVertex,1.74,1.1,15
AddVertex,2.7,1.1,15
AddVertex,2.7,-0.45,26
AddFace,3,2,1,0
GenerateNormals
LoadTexture,suna.bmp
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,0.25,0
SetTextureCoordinates,3,0.25,1

CreateMeshBuilder
AddVertex,1.5,-0.45,26
AddVertex,1.5,1.1,15
AddVertex,1.74,1.1,15
AddVertex,1.74,-0.45,26
AddFace,3,2,1,0
Setcolor,58,32,26
GenerateNormals

CreateMeshBuilder
AddVertex,1.5,-2.05,26
AddVertex,1.5,-0.45,15
AddVertex,1.5,1.1,15
AddVertex,1.5,-0.45,26
AddFace,3,2,1,0
GenerateNormals
LoadTexture,Form3.bmp
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,3,1
SetTextureCoordinates,2,3,0
SetTextureCoordinates,3,0,0
