CreateMeshBuilder,,,,
AddVertex,0,-1,10,
AddVertex,0,-1,25.2,
AddVertex,4.3,1.1,25.2,
AddVertex,4.3,1.1,10,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,Grass2.bmp,,,
SetTextureCoordinates,0,0,2,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,2,0,
SetTextureCoordinates,3,2,2,

CreateMeshBuilder,,,,
AddVertex,0,-1,-1,
AddVertex,0,-1,10,
AddVertex,4.3,1.1,10,
AddVertex,4.3,-1,-5,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,Grass2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
