CreateMeshBuilder,,,,
AddVertex,-25,7,1,
AddVertex,-25,9.5,1,
AddVertex,-10,9.5,1,
AddVertex,-10,7,1,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,kosen4.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,12,0,
SetTextureCoordinates,3,12,1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,,,,
AddVertex,-25,7,3,
AddVertex,-25,7,1,
AddVertex,-10,7,1,
AddVertex,-10,7,3,
AddFace,0,1,2,3
SetColor,140,140,140,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,-31,3.5,1,
AddVertex,-31,6,1,
AddVertex,-25,9.5,1,
AddVertex,-25,7,1,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,kosen4.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,7,0,
SetTextureCoordinates,3,7,1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,,,,
AddVertex,-31,3.5,3,
AddVertex,-31,3.5,1,
AddVertex,-25,7,1,
AddVertex,-25,7,3,
AddFace,0,1,2,3
SetColor,140,140,140,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,-32,3.5,1,
AddVertex,-32,6,1,
AddVertex,-31,6,1,
AddVertex,-31,3.5,1,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,kosen4.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,,,,
AddVertex,-32,3.5,3,
AddVertex,-32,3.5,1,
AddVertex,-31,3.5,1,
AddVertex,-31,3.5,3,
AddFace,0,1,2,3
SetColor,140,140,140,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,-38,0,1,
AddVertex,-38,2.5,1,
AddVertex,-32,6,1,
AddVertex,-32,3.5,1,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,kosen4.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,7,0,
SetTextureCoordinates,3,7,1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,,,,
AddVertex,-38,0,3,
AddVertex,-38,0,1,
AddVertex,-32,3.5,1,
AddVertex,-32,3.5,3,
AddFace,0,1,2,3
SetColor,140,140,140,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,-4,3.5,1,
AddVertex,-4,6,1,
AddVertex,-10,9.5,1,
AddVertex,-10,7,1,
AddFace,3,2,1,0
GenerateNormals,,,,
LoadTexture,kosen4.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,7,0,
SetTextureCoordinates,3,7,1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,,,,
AddVertex,-4,3.5,3,
AddVertex,-4,3.5,1,
AddVertex,-10,7,1,
AddVertex,-10,7,3,
AddFace,3,2,1,0
SetColor,140,140,140,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,-4,3.5,1,
AddVertex,-4,6,1,
AddVertex,-3,6,1,
AddVertex,-3,3.5,1,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,kosen4.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,,,,
AddVertex,-4,3.5,3,
AddVertex,-4,3.5,1,
AddVertex,-3,3.5,1,
AddVertex,-3,3.5,3,
AddFace,0,1,2,3
SetColor,140,140,140,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,3,0,1,
AddVertex,3,2.5,1,
AddVertex,-3,6,1,
AddVertex,-3,3.5,1,
AddFace,3,2,1,0
GenerateNormals,,,,
LoadTexture,kosen4.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,7,0,
SetTextureCoordinates,3,7,1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,,,,
AddVertex,3,0,3,
AddVertex,3,0,1,
AddVertex,-3,3.5,1,
AddVertex,-3,3.5,3,
AddFace,3,2,1,0
SetColor,140,140,140,
GenerateNormals,,,,

CreateMeshBuilder,,,,
Cylinder,10,0.4,0.4,7
SetColor,140,140,140,
GenerateNormals,,,,
Translate,-10.5,3.5,2,

CreateMeshBuilder,,,,
Cylinder,10,0.4,0.4,7
SetColor,140,140,140,
GenerateNormals,,,,
Translate,-24.5,3.5,2,

CreateMeshBuilder,,,,
Cylinder,10,0.4,0.4,3.5
SetColor,140,140,140,
GenerateNormals,,,,
Translate,-31.5,1.8,2,

CreateMeshBuilder,,,,
Cylinder,10,0.4,0.4,3.5
SetColor,140,140,140,
GenerateNormals,,,,
Translate,-3.5,1.8,2,
