CreateMeshBuilder,
AddVertex,-0.95, -0.144, 0
AddVertex,-0.95, -0.144, 25.2
AddVertex,0.95, -0.144, 25.2
AddVertex,0.95, -0.144, 0
AddFace,0, 1, 2, 3
GenerateNormals
Setcolor,170,170,170,
LoadTexture,../../../EDtozai\Rail\formSB.bmp,,,
SetTextureCoordinates,0, 0, 10
SetTextureCoordinates,1, 0, 0
SetTextureCoordinates,2, 1, 0
SetTextureCoordinates,3, 1, 10
SetEmissiveColor,38,38,32,

CreateMeshBuilder,,,,
AddVertex,-0.95,-0.3,0,
AddVertex,-2.5,-0.35,0,
AddVertex,-2.5,-0.35,25.2,
AddVertex,-0.95,-0.3,25.2,
AddFace,0,1,2,3
GenerateNormals,,,,
Setcolor,140,140,140,
LoadTexture,../../../EDtozai\Rail\formSB.bmp,,,
SetTextureCoordinates,0,0.12,5,
SetTextureCoordinates,1,0,5,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0.12,0,
SetEmissiveColor,38,38,32,

CreateMeshBuilder,,,,
AddVertex,0.95,-0.3,0,
AddVertex,2.5,-0.35,0,
AddVertex,2.5,-0.35,25.2,
AddVertex,0.95,-0.3,25.2,
AddFace,3,2,1,0
GenerateNormals,,,,
Setcolor,140,140,140,
LoadTexture,../../../EDtozai\Rail\formSB.bmp,,,
SetTextureCoordinates,0,0.12,4,
SetTextureCoordinates,1,0,4,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0.12,0,
SetEmissiveColor,38,38,32,

CreateMeshBuilder,,,,
AddVertex,-0.95,-0.14,25.2,
AddVertex,-0.95,-0.14,0.00,
AddVertex,-0.95,-0.30,0.00,
AddVertex,-0.95,-0.30,25.2,
AddFace,0,1,2,3
GenerateNormals,,,,
Setcolor,140,140,140
LoadTexture,../../../EDtozai\Rail\Slab2.bmp,,,
SetTextureCoordinates,0,1,4,
SetTextureCoordinates,1,0,4,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,1,0,

CreateMeshBuilder,,,,
AddVertex,0.95,-0.14,25.2,
AddVertex,0.95,-0.14,0.00,
AddVertex,0.95,-0.30,0.00,
AddVertex,0.95,-0.30,25.2,
AddFace,3,2,1,0
GenerateNormals,,,,
Setcolor,140,140,140
LoadTexture,../../../EDtozai\Rail\Slab2.bmp,,,
SetTextureCoordinates,0,1,4,
SetTextureCoordinates,1,0,4,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,1,0,

CreateMeshBuilder,
AddVertex,-0.602, 0, 0
AddVertex,-0.602, 0, 25.5
AddVertex,-0.534, 0, 25.5
AddVertex,-0.534, 0, 0
AddFace,0, 1, 2, 3

LoadTexture,../../../EDtozai\Rail\Rail1.bmp
Setcolor,160,160,160
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,1,0,
GenerateNormals
SetEmissiveColor,38,38,32,

CreateMeshBuilder,
AddVertex,0.534, 0, 0
AddVertex,0.534, 0, 25.5
AddVertex,0.602, 0, 25.5
AddVertex,0.602, 0, 0
AddFace,0, 1, 2, 3

LoadTexture,../../../EDtozai\Rail\Rail1.bmp
Setcolor,160,160,160
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,1,1,
