CreateMeshBuilder
AddVertex,55,-3.5, -25
AddVertex,15,-3.5, -25
AddVertex,10,-3.5, -25
AddVertex,10, 6.5, 25.2
AddVertex,15, 8.5, 25.2
AddVertex,55, 8.5, 25.2
AddFace2,0,1,4,5
AddFace2,1,2,3,4
LoadTexture,../../ground5.bmp,
SetTextureCoordinates,0,0,0.0
SetTextureCoordinates,1,0,3.0
SetTextureCoordinates,2,0,3.7
SetTextureCoordinates,3,2,3.7
SetTextureCoordinates,4,2,3.0
SetTextureCoordinates,5,2,0.0

CreateMeshBuilder
AddVertex,10,-3.5, -25
AddVertex,10, 6.5, 25.2
AddVertex,8, -3.9, 25.2
AddVertex,9, -3.2, -25
AddFace,3,2,1,0
LoadTexture,../dike_A01.png
SetTextureCoordinates,0,0.14,0.0
SetTextureCoordinates,1,1.0,2.0
SetTextureCoordinates,2,0.0,2.0
SetTextureCoordinates,3,0.90,0

CreateMeshBuilder
AddVertex,15.5, 5.0, -22
AddVertex,15.5, 14.0, 22
AddVertex,15.5, 8.3, 22
AddVertex,15.5,-2.2, -22
AddFace2,3,2,1,0
LoadTexture,../../Road\guardrail4.bmp
SetTextureCoordinates,0,0,0.0
SetTextureCoordinates,1,0,4.0
SetTextureCoordinates,2,1,4.0
SetTextureCoordinates,3,1,0.0
SetDecalTransparentColor,0,0,255
Translate,0,-0.5,0
